SN,Company,Vertical,Sub-vertical,Domain,Address,City,PinCode,"Founder edu: 1 others, 2: NIT, 3 : IIT, IIM, MS; ",Founder exp total,Dt of incorporation,Period wef incorporation yrs,Team no,Team tot man yrs exp,Innovation Quotion: 1-5,Awards,Awards details,"Stage: seed 1, POC 2, pilot 3, growth 4",Stage,Money Raised in M$,L Dt money recd,IP Filed/2 + Granted,No. of paid clients,Revenue Rs. Lakhs,Total Rating
50,Orxa Energies Pvt Ltd,Transportation & Logistics,Two-wheelers & Smart cities,"Transportation> Electric Vehicle, Cross industry Core Platform Technologies (eg. Video analytics, Speech technologies, AR/VR etc.);Mobility (Electric Vehicles & Battery Technology)","98/50, 2nd Main Road, Rajaji Nagar Industrial Town, Rajaji Nagar",Bangalore,560044,1,20,7-Aug-15,6.2,15,75,3,5,"a.	Winner, Integrate to Innovate award by Invest India, Startup India, Schneider Electric, awarded INR 3L: Dec 18 
b.	Selected for Investment from GAIL Startup Fund â€œPankhâ€: Jun 19, awaiting fund release.
c.	Angel Investment of INR 3CR: June2018
d.	Selected into Airbus Bizlabs Accelerator program, Nov 17- present 
e.	Winner, IOT Next startup award, Nov 17 
f.  Media Coverage: YourStory (multiple instances), Business Standard, Forbes India, Deustche Welle, Clean Tech & Auto Blogs ( PlugIn India, IamRenew, etc)",3,,0.5,,4.5,7,32,11.8
51,Kestrel Innovations Pvt Ltd,Semiconductor,VLSI design,Semiconductor>Geo-Positioning Chips,"80ft road,Kodihalli, HAL stage 2, Indiranagar",Bangalore,560078,1,19,9-Dec-11,9.9,13,,2,,,,,,,,,,4.1
52,Sculpe Technologies Pvt Ltd,Retail,"B2B/Enterprise, B2B eCommerce",eCommerce > Retail> Handmade,"#776, Venkateshwara Nilaya,7th cross,Nagasandra village",Bangalore,560073,1,11,20-Aug-15,6.2,,,1,,,,,,,,,,1.9
53,Cell Strat,AI,Analytics,AI> Analytics ,"Coworks, RMZ Ecoworld",Bangalore,560103,3,22,1-Jan-17,4.8,,,1,,,,,,,,,,3.0
54,Buoyanci Finpro Pvt Ltd,Enterprise Solutions,Fintech,Fintech > Business startegy,"47, Byrasandra main, 1st Block, Jayanagar",Bangalore,560011,1,34,16-Jul-18,3.3,,,1,,,,,,,,,,3.9
55,Adhrit Services Pvt Ltd,Consultancy,Enterprise Solutions,Enterprise Solution> Consultancy > SAAS,"414,41st cross, 7th main,5th block, jayanagar",Bangalore,560041,1,18,7-May-13,8.4,,,,,,,,,,,,,2.7
56,Mobiotics IT Solution Pvt Ltd,Iot,smart city,IOT > Smart City > Smart TV,"1196, 22nd Cross Rd, 
Sector 3, HSR Layout",Bangalore,560102,3,18,4-Jan-11,10.8,4,,2,,,,,,,,,,3.6
57,Fabric Monde Marketing Pvt Ltd,Supply Chain,"B2B/Enterprise, B2B eCommerce",B2B > eCommerce > Handmade Fabric,"Baskara's Plaza, 1143, 5th Main Rd, Sector 7, HSR Layout",Bangalore,560102,3,,4-May-17,4.5,12,,,6,"Fabric Monde achieved a spot in the top 5 & a grant of 4 Lakhs in the Smart Fifty - Solutions to Transform India, Fabric Monde bagged the top 5 award among 100+ startups that applied for TIE Rajasthan, CEO Jyothi presenting a report on demand in the Handloom sector to the Indian Textile Minister Smriti Irani, Fabric Monde was recognised by Textiles Fair India for our impact on the Handloom space, Graduated from IIMB's incubation center, Fabric Monde was recognized by Eximus, CEO Jyothi had an opportunity to discuss with Vinod Khosla on the Fabric Monde's journey",,,,,,,,1.9
58,Technosphere Labs Pvt Ltd,Smart Cities,IIOT,IOT> Smart City > Enterprise Solutions,"6/A, Amit Plaza, 3rd Floor, 3rd Phase, JP Nagar",Bangalore,560076,3,40,8-Apr-13,8.5,4,,,,,,,,,,,,5.3
59,Nive Systems Pvt Ltd,Engineering Services,"ADAS, Embedded, and IOT",Engineering Services> IIOT >Test Solutions,"2nd Floor, 808, 19th Main Rd, 
2nd Sector, HSR Layout",Bangalore,560102,1,12,20-Sep-18,3.1,10,,1,,,,,,,,,,2.4
60,Lxier Technologies Pvt Ltd,Iot,smart city,IOT > Smart city > Agriculture,"401, 8th Main Rd, 5th Block, 1st Stage, HBR Layout",Bangalore,560043,1,13,24-Oct-18,3.0,3,,2,,,,,,,,,,2.1
61,Wegot Utility Solutions Pvt Ltd,Water Management,"ADAS, Embedded, and IOT",IOT > Water Management > IOT,"302 Noble Nest Apartment,
Door No 219/1, 8th Cross,
Talacauvery Layout,
Basavanagar",Bangalore,560037,1,16,1-Apr-15,6.5,5,,3,,,,,,,,,,3.0
62,Flytta Innovations Pvt Ltd,logistics,"Logistics, Transporation, Technology",Logistics > Online Platform for Reloaction,"Prestige Atlanta, 80 Feet Rd, Koramangala 1A Block",Bangalore,560034,1,11,7-Jun-16,5.4,2,17,1,,,,,,18-Jul-17,,,,3.1
63,360 Health Vectors Pvt Ltd (Health Vectors),Healthtech,AI,HealthTech > AI> Preventive Healthcare,"Block B, 008, Euphoria, Suncity Corporate Leisure, Outer Ring Road Iblur",Bangalore,560102,1,24,13-Jun-11,10.3,15,,2,,,,,,,,,,4.8
